winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth_m,turn_times_m,average_turn_time_m,turn_nodes_m,average_turn_nodes_m,depth_n,turn_times_n,average_turn_time_n,turn_nodes_n,average_turn_nodes_n
Negamax,Minimax,8,vertical,True,True,1,"[0.005, 0.008, 0.008, 0.012]",0.01,"[19, 37, 37, 55]",37.0,1,"[0.008, 0.008, 0.012, 0.012]",0.01,"[37, 37, 55, 55]",46.0
Minimax,Negamax,14,lru,True,True,2,"[0.202, 0.156, 0.148, 0.1737, 0.398, 0.291, 0.165]",0.22,"[1170, 892, 834, 961, 2209, 1675, 1129]",1267.14,2,"[0.109, 0.1015, 0.171, 0.111, 0.163, 0.234, 0.142]",0.15,"[569, 574, 963, 652, 913, 1323, 844]",834.0
Minimax,Negamax,10,lrd,True,True,3,"[1.0498, 1.12, 2.1451, 1.8353, 1.7133]",1.57,"[5974, 6252, 12299, 10602, 10012]",9027.8,3,"[0.5436, 1.2208, 1.6946, 1.818, 2.4887]",1.55,"[3065, 6901, 9618, 10592, 14507]",8936.6
Minimax,Minimax,7,lru,True,True,4,"[9.8406, 22.7368, 31.9197, 31.9906]",24.12,"[57667, 132489, 186335, 189859]",141587.5,4,"[5.8744, 10.9076, 17.551]",11.44,"[32531, 61492, 101663]",65228.67
Minimax,Negamax,10,lru,True,True,5,"[58.0796, 66.5342, 96.2369, 63.2364, 44.2476]",65.67,"[278117, 316491, 504818, 343728, 250968]",338824.4,5,"[28.2526, 28.253, 67.3794, 74.8373, 54.3325]",50.61,"[157740, 152269, 370557, 436201, 318559]",287065.2
Negamax,Minimax,8,vertical,True,True,1,"[0.0089, 0.0085, 0.009, 0.012]",0.01,"[37, 37, 37, 55]",41.5,1,"[0.008, 0.008, 0.012, 0.012]",0.01,"[37, 37, 55, 55]",46.0
Minimax,Minimax,13,vertical,True,True,2,"[0.065, 0.071, 0.2, 0.236, 0.1991, 0.4161, 0.175]",0.19,"[345, 406, 1125, 1296, 1097, 2334, 1131]",1104.86,2,"[0.057, 0.136, 0.16, 0.1435, 0.169, 0.2349]",0.15,"[352, 753, 905, 823, 959, 1342]",855.67
Negamax,Negamax,9,vertical,True,True,3,"[0.9509, 2.8719, 1.7532, 1.8726]",1.86,"[5339, 16317, 10095, 11154]",10726.25,3,"[0.532, 2.0516, 1.6701, 2.1318, 1.422]",1.56,"[3125, 11993, 9586, 12574, 9297]",9315.0
Minimax,Negamax,12,lru,True,True,4,"[12.0997, 23.5762, 29.1556, 42.1393, 39.1124, 13.8468]",26.66,"[70351, 136469, 169096, 243849, 233797, 89074]",157106.0,4,"[3.1615, 7.1962, 8.6339, 9.5456, 21.7078, 11.8099]",10.34,"[17330, 39574, 47544, 52444, 123486, 72399]",58796.17
Minimax,Minimax,13,vertical,True,True,5,"[11.0603, 20.578, 58.011, 53.0319, 108.239, 60.5594, 54.6572]",52.31,"[57428, 84775, 272202, 247827, 561608, 324033, 294013]",263126.57,5,"[9.6125, 35.9668, 72.683, 61.5044, 71.4859, 45.7251]",49.5,"[55159, 191487, 396784, 351621, 402369, 265095]",277085.83
Minimax,Minimax,3,horizontal,True,True,1,"[0.008, 0.01]",0.01,"[37, 55]",46.0,1,[0.009],0.01,[37],37.0
Minimax,Minimax,13,vertical,True,True,2,"[0.233, 0.133, 0.214, 0.223, 0.209, 0.336, 0.1927]",0.22,"[1318, 757, 1202, 1252, 1141, 1919, 1117]",1243.71,2,"[0.124, 0.108, 0.122, 0.105, 0.169, 0.177]",0.13,"[699, 605, 707, 609, 946, 1046]",768.67
Minimax,Minimax,9,vertical,True,True,3,"[1.77, 2.4468, 2.2842, 2.5946, 0.9377]",2.01,"[10066, 13712, 12938, 15344, 6202]",11652.4,3,"[1.5648, 2.7767, 2.5941, 1.7256]",2.17,"[8795, 15819, 15099, 10445]",12539.5
Minimax,Minimax,11,lru,True,True,4,"[9.6185, 20.838, 35.957, 38.6616, 38.1465, 31.7625]",29.16,"[57270, 120883, 205614, 223879, 232256, 192877]",172129.83,4,"[2.8826, 8.868, 17.7833, 13.3215, 12.273]",11.03,"[15585, 48665, 99506, 76454, 71189]",62279.8
Minimax,Minimax,13,vertical,True,True,5,"[13.609, 20.519, 58.0195, 53.0791, 108.0884, 60.594, 54.4893]",52.63,"[69593, 84775, 272202, 247827, 561608, 324033, 294013]",264864.43,5,"[9.7033, 36.0074, 72.6806, 61.695, 71.5108, 45.5675]",49.53,"[55159, 191487, 396784, 351621, 402369, 265095]",277085.83
Minimax,Negamax,4,horizontal,True,True,1,"[0.009, 0.011]",0.01,"[37, 55]",46.0,1,"[0.006, 0.009]",0.01,"[19, 37]",28.0
Negamax,Minimax,12,lrd,True,True,2,"[0.063, 0.151, 0.1417, 0.148, 0.221, 0.225]",0.16,"[345, 866, 792, 841, 1247, 1318]",901.5,2,"[0.068, 0.1, 0.154, 0.119, 0.217, 0.111]",0.13,"[386, 551, 858, 663, 1217, 688]",727.17
Minimax,Negamax,12,vertical,True,True,3,"[0.8066, 1.1126, 1.7339, 3.0057, 2.4293, 1.1219]",1.7,"[4632, 6228, 9818, 17035, 14496, 7084]",9882.17,3,"[0.466, 1.057, 1.467, 2.8117, 2.2508, 2.5245]",1.76,"[2595, 6073, 8320, 16092, 13046, 15035]",10193.5
Minimax,Negamax,14,lrd,True,True,4,"[9.2398, 30.8798, 40.4824, 26.9144, 42.7586, 21.5312, 7.1513]",25.57,"[57303, 176831, 234265, 159467, 253288, 139210, 48628]",152713.14,4,"[2.1741, 3.633, 10.0375, 18.0696, 11.4902, 18.0242, 11.4305]",10.69,"[12674, 19693, 54734, 100767, 62703, 104335, 70783]",60812.71
Negamax,Negamax,13,horizontal,True,True,5,"[31.2917, 44.1987, 57.9082, 84.7676, 65.5168, 42.5176]",54.37,"[146585, 215956, 300736, 456040, 365139, 237440]",286982.67,5,"[11.6882, 24.8093, 67.9871, 56.2669, 56.337, 29.6085, 8.2725]",36.42,"[66505, 135734, 381384, 332022, 334307, 177649, 51221]",211260.29
Negamax,Negamax,7,vertical,True,True,1,"[0.009, 0.009, 0.012]",0.01,"[37, 37, 55]",43.0,1,"[0.005, 0.009, 0.011, 0.012]",0.01,"[19, 37, 55, 55]",41.5
Minimax,Minimax,13,lrd,True,True,2,"[0.145, 0.147, 0.2408, 0.133, 0.222, 0.336, 0.194]",0.2,"[832, 834, 1376, 792, 1265, 1912, 1156]",1166.71,2,"[0.149, 0.103, 0.118, 0.146, 0.2751, 0.19]",0.16,"[856, 571, 649, 787, 1517, 1082]",910.33
Minimax,Minimax,13,lru,True,True,3,"[0.5505, 0.711, 1.3325, 2.0518, 1.7214, 1.8651, 1.1542]",1.34,"[3238, 3993, 7430, 11941, 9658, 11180, 7753]",7884.71,3,"[0.4901, 1.2374, 1.2272, 1.463, 2.9744, 2.1701]",1.59,"[2870, 6990, 6883, 8157, 16635, 12840]",9062.5
Minimax,Minimax,9,vertical,True,True,4,"[19.7083, 15.0382, 34.34, 43.4572, 37.9831]",30.11,"[116162, 86688, 196163, 249795, 221595]",174080.6,4,"[4.2497, 9.0962, 19.4216, 23.2387]",14.0,"[24975, 49764, 107972, 132010]",78680.25
Minimax,Negamax,10,vertical,True,True,5,"[20.644, 48.0906, 70.3842, 183.1969, 40.2593]",72.52,"[91524, 230163, 352737, 965367, 243373]",376632.8,5,"[7.2876, 25.1104, 38.501, 94.0199, 104.0093]",53.79,"[38768, 135215, 212212, 533488, 625506]",309037.8
Minimax,Negamax,6,vertical,True,True,1,"[0.008, 0.009, 0.012]",0.01,"[37, 37, 55]",43.0,1,"[0.006, 0.009, 0.011]",0.01,"[19, 37, 55]",37.0
Minimax,Minimax,13,lrd,True,True,2,"[0.061, 0.146, 0.2412, 0.133, 0.2263, 0.336, 0.1959]",0.19,"[345, 834, 1376, 792, 1265, 1912, 1156]",1097.14,2,"[0.059, 0.102, 0.117, 0.143, 0.2754, 0.19]",0.15,"[324, 571, 649, 787, 1517, 1082]",821.67
Minimax,Minimax,9,lru,True,True,3,"[0.532, 1.351, 1.6395, 2.1509, 1.305]",1.4,"[3142, 7901, 9274, 12407, 8070]",8158.8,3,"[0.9374, 1.9152, 1.5804, 2.1086]",1.64,"[5335, 10961, 9249, 12722]",9566.75
Minimax,Negamax,12,vertical,True,True,4,"[8.6788, 25.4306, 28.0416, 33.5647, 41.9661, 28.3786]",27.68,"[53765, 146259, 163973, 196395, 242639, 169145]",162029.33,4,"[2.1718, 3.697, 9.0273, 8.3744, 18.6918, 16.6949]",9.78,"[12714, 19912, 49345, 46725, 107416, 95858]",55328.33
Negamax,Negamax,13,lru,True,True,5,"[16.871, 70.5996, 144.5669, 233.254, 104.14, 64.8706]",105.72,"[74142, 319612, 697836, 1221968, 559221, 366494]",539878.83,5,"[11.386, 32.0188, 102.1763, 196.3708, 168.4109, 77.2831, 21.5783]",87.03,"[61003, 171255, 558546, 1105440, 968749, 461226, 141825]",495434.86
Minimax,Negamax,4,horizontal,True,True,1,"[0.008, 0.01]",0.01,"[37, 55]",46.0,1,"[0.006, 0.008]",0.01,"[19, 37]",28.0
Negamax,Minimax,12,vertical,True,True,2,"[0.074, 0.285, 0.4127, 0.373, 0.437, 0.221]",0.3,"[422, 1640, 2355, 2158, 2479, 1292]",1724.33,2,"[0.134, 0.192, 0.318, 0.273, 0.2091, 0.121]",0.21,"[761, 1097, 1772, 1517, 1181, 702]",1171.67
Negamax,Negamax,11,vertical,True,True,3,"[0.887, 1.4681, 3.059, 3.093, 1.8041]",2.06,"[4973, 8260, 17349, 17495, 10849]",11785.2,3,"[0.4271, 0.9553, 1.7081, 2.1907, 2.9799, 1.4741]",1.62,"[2392, 5431, 9698, 12727, 17356, 9105]",9451.5
Negamax,Negamax,9,vertical,True,True,4,"[18.2852, 55.6615, 51.465, 37.616]",40.76,"[106799, 322584, 300403, 231777]",240390.75,4,"[3.1689, 8.2866, 25.8994, 13.1487, 10.8803]",12.28,"[17256, 45790, 144973, 75321, 66183]",69904.6
Minimax,Minimax,13,horizontal,True,True,5,"[33.1677, 58.0113, 133.134, 185.6746, 98.8779, 73.3951, 14.0457]",85.19,"[149383, 273471, 656793, 957563, 542250, 425159, 85305]",441417.71,5,"[32.0568, 67.1295, 139.3887, 171.7783, 82.841, 51.2386]",90.74,"[170735, 369378, 788965, 998960, 493658, 317972]",523278.0
Minimax,Minimax,3,vertical,True,True,1,"[0.008, 0.012]",0.01,"[37, 55]",46.0,1,[0.012],0.01,[55],55.0
Negamax,Minimax,12,lrd,True,True,2,"[0.061, 0.144, 0.229, 0.127, 0.227, 0.2321]",0.17,"[345, 825, 1303, 751, 1247, 1318]",964.83,2,"[0.061, 0.095, 0.146, 0.12, 0.216, 0.1129]",0.13,"[335, 528, 814, 663, 1217, 688]",707.5
Negamax,Negamax,14,lru,True,True,3,"[0.8714, 1.548, 2.6669, 2.1621, 2.2184, 1.7149, 0.588]",1.68,"[4980, 8711, 14887, 12419, 13151, 10358, 3718]",9746.29,3,"[0.446, 1.1619, 1.666, 2.1322, 1.827, 1.848, 0.87]",1.42,"[2512, 6616, 9303, 12164, 11131, 11380, 6045]",8450.14
Negamax,Minimax,14,lrd,True,True,4,"[9.4937, 15.1717, 41.9541, 61.0452, 58.5775, 55.9476, 27.1443]",38.48,"[56207, 90939, 239443, 348369, 336133, 335468, 169267]",225118.0,4,"[6.1173, 9.3135, 19.5053, 12.8401, 23.5222, 14.9314, 8.0758]",13.47,"[34284, 50640, 108286, 73161, 134659, 88161, 49736]",76989.57
Negamax,Minimax,12,horizontal,True,True,5,"[14.4032, 35.9003, 86.2362, 69.6506, 71.7584, 87.194]",60.86,"[67022, 162715, 422341, 352792, 399232, 502787]",317814.83,5,"[13.4198, 47.2914, 65.9316, 58.2498, 46.4089, 34.7358]",44.34,"[71578, 259088, 370322, 341306, 290358, 225128]",259630.0
Negamax,Negamax,9,vertical,True,True,1,"[0.005, 0.009, 0.012, 0.012]",0.01,"[19, 37, 55, 55]",41.5,1,"[0.005, 0.005, 0.008, 0.012, 0.022]",0.01,"[19, 19, 37, 55, 73]",40.6
Negamax,Minimax,10,vertical,True,True,2,"[0.068, 0.145, 0.136, 0.353, 0.293]",0.2,"[385, 829, 756, 1989, 1777]",1147.2,2,"[0.061, 0.0981, 0.165, 0.275, 0.121]",0.14,"[348, 547, 923, 1520, 722]",812.0
Negamax,Negamax,9,lru,True,True,3,"[0.956, 1.7116, 1.7552, 2.0067]",1.61,"[5338, 9636, 9810, 11576]",9090.0,3,"[0.611, 1.3336, 1.596, 1.8375, 1.8598]",1.45,"[3409, 7568, 9097, 10663, 11304]",8408.2
Minimax,Minimax,9,lrd,True,True,4,"[9.4718, 21.4049, 47.9064, 41.0164, 17.9513]",27.55,"[54884, 123781, 278132, 245139, 112114]",162810.0,4,"[5.9116, 12.9706, 17.9247, 11.1624]",11.99,"[32695, 73332, 105141, 67616]",69696.0
Minimax,Negamax,10,lrd,True,True,5,"[32.053, 74.8731, 114.9649, 58.5714, 21.8459]",60.46,"[147962, 374745, 610549, 300544, 115880]",309936.0,5,"[13.6683, 42.4423, 95.434, 46.2826, 23.4001]",44.25,"[72862, 232918, 536161, 268780, 140316]",250207.4
Negamax,Negamax,3,vertical,True,True,1,[0.012],0.01,[55],55.0,1,"[0.008, 0.011]",0.01,"[37, 55]",46.0
Negamax,Negamax,13,vertical,True,True,2,"[0.06, 0.147, 0.226, 0.2261, 0.2148, 0.311]",0.2,"[371, 832, 1308, 1305, 1247, 1797]",1143.33,2,"[0.066, 0.075, 0.127, 0.154, 0.152, 0.2953, 0.133]",0.14,"[364, 419, 712, 849, 828, 1644, 827]",806.14
Minimax,Negamax,10,vertical,True,True,3,"[1.7504, 1.087, 1.7832, 2.3611, 1.5442]",1.71,"[9970, 6054, 9984, 13815, 10147]",9994.0,3,"[0.952, 1.1697, 1.7838, 1.9132, 2.1589]",1.6,"[5494, 6688, 10100, 11032, 13067]",9276.2
Minimax,Negamax,6,vertical,True,True,4,"[15.2564, 28.4499, 28.7071]",24.14,"[88472, 166629, 168454]",141185.0,4,"[2.7212, 7.9681, 19.2168]",9.97,"[14807, 44416, 108875]",56032.67
Negamax,Negamax,9,vertical,True,True,5,"[33.4664, 58.9314, 62.3719, 30.3629]",46.28,"[156044, 290074, 331350, 162574]",235010.5,5,"[12.3931, 50.6221, 56.1646, 86.8336, 21.665]",45.54,"[69873, 288857, 322697, 509402, 138953]",265956.4
Minimax,Minimax,3,vertical,True,True,1,"[0.009, 0.011]",0.01,"[37, 55]",46.0,1,[0.012],0.01,[55],55.0
Minimax,Negamax,10,vertical,True,True,2,"[0.152, 0.153, 0.2426, 0.415, 0.179]",0.23,"[859, 868, 1346, 2346, 1129]",1309.6,2,"[0.082, 0.14, 0.113, 0.21, 0.191]",0.15,"[453, 785, 619, 1183, 1133]",834.6
Negamax,Negamax,11,lrd,True,True,3,"[0.917, 1.9925, 1.6433, 3.2796, 3.2671]",2.22,"[5153, 11210, 9160, 18358, 18632]",12502.6,3,"[0.519, 1.284, 1.3439, 2.8908, 4.4644, 2.9715]",2.25,"[3059, 7515, 7533, 16292, 25806, 16997]",12867.0
Minimax,Negamax,12,vertical,True,True,4,"[8.6723, 25.4644, 28.1321, 33.8602, 41.8805, 28.2864]",27.72,"[53765, 146259, 163973, 196395, 242639, 169145]",162029.33,4,"[2.1692, 3.708, 9.0701, 8.4195, 18.6449, 16.7616]",9.8,"[12714, 19912, 49345, 46725, 107416, 95858]",55328.33
Minimax,Negamax,8,lru,True,True,5,"[16.9986, 54.2583, 74.1085, 48.4486]",48.45,"[75251, 267408, 374660, 273406]",247681.25,5,"[11.8102, 29.1478, 66.8235, 88.3694]",49.04,"[64664, 156964, 370642, 508965]",275308.75
Negamax,Negamax,7,vertical,True,True,1,"[0.005, 0.008, 0.012]",0.01,"[19, 37, 55]",37.0,1,"[0.004, 0.005, 0.012, 0.011]",0.01,"[19, 19, 55, 55]",37.0
Minimax,Negamax,12,lrd,True,True,2,"[0.067, 0.199, 0.157, 0.2466, 0.425, 0.2384]",0.22,"[380, 1139, 886, 1371, 2415, 1449]",1273.33,2,"[0.059, 0.1031, 0.1085, 0.115, 0.191, 0.1868]",0.13,"[327, 567, 600, 671, 1051, 1093]",718.17
Negamax,Minimax,12,vertical,True,True,3,"[0.374, 1.0407, 1.6977, 2.5065, 2.8764, 1.4184]",1.65,"[2058, 5795, 9427, 14227, 16546, 8194]",9374.5,3,"[0.58, 1.2545, 1.6303, 3.1827, 1.434, 1.0533]",1.52,"[3256, 7141, 9230, 18278, 8813, 6756]",8912.33
Minimax,Negamax,12,lrd,True,True,4,"[14.3759, 29.1992, 25.1758, 38.3367, 42.8798, 28.3371]",29.72,"[85608, 169569, 146121, 224973, 255104, 174077]",175908.67,4,"[2.4133, 6.1186, 9.3311, 13.4759, 17.7099, 15.8213]",10.81,"[13660, 33380, 51114, 75592, 100644, 91359]",60958.17
Minimax,Minimax,13,lrd,True,True,5,"[17.9691, 65.0831, 197.7546, 93.1376, 39.8332, 51.4868, 33.7654]",71.29,"[76395, 302375, 966268, 479723, 227992, 289491, 204811]",363865.0,5,"[31.7298, 92.3876, 138.0676, 66.3928, 92.5264, 68.7757]",81.65,"[169297, 502800, 782008, 388682, 556081, 423553]",470403.5
Minimax,Negamax,8,vertical,True,True,1,"[0.008, 0.012, 0.016, 0.012]",0.01,"[37, 55, 73, 55]",55.0,1,"[0.005, 0.008, 0.011, 0.012]",0.01,"[19, 37, 55, 55]",41.5
Minimax,Minimax,13,vertical,True,True,2,"[0.066, 0.148, 0.207, 0.181, 0.2222, 0.28, 0.217]",0.19,"[368, 859, 1175, 1018, 1236, 1622, 1333]",1087.29,2,"[0.11, 0.105, 0.128, 0.12, 0.165, 0.132]",0.13,"[622, 634, 713, 664, 926, 798]",726.17
Minimax,Minimax,13,lru,True,True,3,"[0.5675, 0.686, 1.3435, 2.0638, 1.7242, 1.8631, 1.1607]",1.34,"[3332, 3863, 7430, 11941, 9658, 11180, 7753]",7879.57,3,"[0.502, 1.242, 1.2287, 1.459, 2.9676, 2.1525]",1.59,"[2871, 6990, 6883, 8157, 16635, 12840]",9062.67
Minimax,Minimax,13,vertical,True,True,4,"[8.867, 19.8359, 59.1661, 92.6306, 36.1947, 39.1591, 12.3186]",38.31,"[51466, 113969, 334636, 524944, 208768, 233820, 74340]",220277.57,4,"[5.7384, 15.119, 32.4072, 34.5862, 25.9514, 12.7962]",21.1,"[31712, 84507, 179442, 194007, 149838, 76390]",119316.0
Minimax,Negamax,14,horizontal,True,True,5,"[20.8343, 46.602, 71.161, 61.3679, 68.8472, 22.72, 3.5341]",42.15,"[92018, 225669, 369664, 335972, 379948, 125637, 23171]",221725.57,5,"[7.2575, 25.1108, 58.9292, 58.9601, 64.6415, 28.1285, 8.6563]",35.95,"[38529, 134561, 326818, 338878, 384004, 166566, 55889]",206463.57
Negamax,Negamax,9,vertical,True,True,1,"[0.005, 0.009, 0.012, 0.011]",0.01,"[19, 37, 55, 55]",41.5,1,"[0.005, 0.005, 0.008, 0.012, 0.015]",0.01,"[19, 19, 37, 55, 73]",40.6
Minimax,Minimax,15,vertical,True,True,2,"[0.065, 0.197, 0.167, 0.256, 0.178, 0.383, 0.28, 0.123]",0.21,"[369, 1137, 935, 1466, 953, 2176, 1566, 697]",1162.38,2,"[0.085, 0.108, 0.0993, 0.102, 0.161, 0.2, 0.2305]",0.14,"[473, 603, 589, 607, 886, 1119, 1392]",809.86
Minimax,Minimax,3,horizontal,True,True,3,"[0.7162, 0.605]",0.66,"[4262, 3918]",4090.0,3,[0.491],0.49,[3003],3003.0
Negamax,Minimax,14,horizontal,True,True,4,"[8.2011, 13.8364, 37.2398, 46.9676, 64.415, 48.0966, 14.8909]",33.38,"[49684, 79649, 211492, 266291, 367166, 295187, 98845]",195473.43,4,"[2.4809, 8.228, 10.8266, 24.0529, 15.5821, 9.622, 3.6212]",10.63,"[14740, 45216, 60036, 136053, 90897, 56943, 23134]",61002.71
Negamax,Minimax,12,horizontal,True,True,5,"[13.3892, 35.7642, 86.184, 69.8275, 71.7411, 87.346]",60.71,"[60947, 162715, 422341, 352792, 399232, 502787]",316802.33,5,"[13.4689, 47.2478, 65.9334, 58.2418, 46.8289, 34.8769]",44.43,"[71751, 259088, 370322, 341306, 290358, 225128]",259658.83
Negamax,Minimax,8,vertical,True,True,1,"[0.005, 0.008, 0.012, 0.0123]",0.01,"[19, 37, 55, 55]",41.5,1,"[0.009, 0.012, 0.016, 0.013]",0.01,"[37, 55, 73, 55]",55.0
Minimax,Minimax,15,horizontal,True,True,2,"[0.062, 0.08, 0.178, 0.162, 0.188, 0.301, 0.3243, 0.163]",0.18,"[344, 432, 986, 901, 1031, 1721, 1822, 944]",1022.62,2,"[0.053, 0.121, 0.111, 0.1545, 0.1816, 0.245, 0.2367]",0.16,"[324, 680, 611, 884, 1003, 1384, 1434]",902.86
Negamax,Minimax,10,vertical,True,True,3,"[0.357, 0.888, 1.6481, 1.8898, 2.5129]",1.46,"[1935, 4942, 9261, 10663, 14271]",8214.4,3,"[0.522, 1.1079, 1.3688, 1.7792, 1.496]",1.25,"[2910, 6270, 7824, 10302, 8970]",7255.2
Minimax,Minimax,13,vertical,True,True,4,"[18.2261, 14.0846, 36.5853, 50.4059, 87.7253, 61.5502, 15.9942]",40.65,"[107708, 81188, 208342, 288914, 498874, 355733, 94283]",233577.43,4,"[2.3324, 8.2279, 10.6393, 11.0325, 30.1562, 8.904]",11.88,"[14088, 45187, 58832, 63797, 168193, 49875]",66662.0
Minimax,Minimax,15,lru,True,True,3,"[0.446, 0.9344, 1.7722, 4.7368, 4.3125, 2.1443, 1.0629, 0.6498]",2.01,"[2503, 5205, 9853, 26531, 24440, 12658, 6533, 4616]",11542.38,3,"[0.588, 1.1202, 2.5723, 2.7379, 3.581, 1.7116, 0.9061]",1.89,"[3166, 6344, 14251, 15349, 20772, 10610, 5744]",10890.86
Minimax,Negamax,14,lrd,True,True,2,"[0.065, 0.15, 0.153, 0.156, 0.2593, 0.3951, 0.168]",0.19,"[397, 840, 854, 866, 1455, 2262, 970]",1092.0,2,"[0.088, 0.081, 0.128, 0.121, 0.182, 0.1801, 0.163]",0.13,"[487, 428, 716, 682, 1017, 993, 963]",755.14
Minimax,Negamax,12,vertical,True,True,4,"[7.7287, 23.4614, 42.4534, 41.825, 30.7173, 21.9747]",28.03,"[47471, 134843, 238718, 249471, 193235, 136053]",166631.83,2,"[0.104, 0.008, 0.009, 0.017, 0.009, 0.008]",0.03,"[576, 20, 20, 56, 8, 8]",114.67
