winner,starter,total_turns,win_direction,ab_pruning,t_tables,depth,turn_times,average_turn_time,turn_nodes,average_turn_nodes
Minimax,Random,8,horizontal,True,True,1,"[0.005, 0.005, 0.008, 0.008]",0.01,"[19, 19, 37, 37]",28.0

Minimax,Random,12,horizontal,True,True,2,"[0.06, 0.067, 0.064, 0.127, 0.2461, 0.135]",0.12,"[343, 388, 364, 726, 1384, 779]",664.0

Minimax,Minimax,17,horizontal,True,True,3,"[0.001, 0.512, 0.566, 1.1663, 1.7062, 1.356, 1.5127, 1.027, 0.6454]",0.94,"[1, 2902, 3169, 6610, 9722, 8109, 10099, 6587, 4281]",5720.0

Minimax,Minimax,17,vertical,True,True,4,"[0.001, 9.0917, 14.275, 14.6323, 38.6056, 47.4055, 69.7147, 19.9554, 17.0695]",25.64,"[1, 53313, 84936, 88298, 220025, 267883, 400796, 118836, 107496]",149064.89

Minimax,Minimax,15,vertical,True,True,5,"[0.002, 13.4165, 17.7634, 31.8705, 52.9118, 31.0424, 27.1692, 22.3859]",24.57,"[1, 60852, 75545, 148979, 277718, 178036, 165895, 150163]",132148.62

Minimax,Minimax,7,horizontal,True,True,1,"[0.002, 0.005, 0.008, 0.007]",0.01,"[1, 19, 37, 37]",23.5

Minimax,Minimax,11,horizontal,True,True,2,"[0.003, 0.061, 0.077, 0.131, 0.137, 0.139]",0.09,"[1, 343, 431, 749, 775, 804]",517.17

Minimax,Minimax,16,lrd,True,True,3,"[0.001, 0.4161, 0.8347, 1.001, 1.1808, 1.069, 1.5287, 1.654]",0.96,"[1, 2343, 4774, 5652, 7179, 7094, 10034, 9968]",5880.62

Minimax,Random,8,horizontal,True,True,4,"[6.0685, 9.5791, 16.5378, 10.3408]",10.63,"[35690, 57149, 97135, 62002]",62994.0

Minimax,Minimax,9,vertical,True,True,5,"[0.001, 13.5113, 18.2971, 54.8847, 129.6161]",43.26,"[1, 60431, 77452, 257354, 654688]",209985.2

Minimax,Random,8,horizontal,True,True,1,"[0.004, 0.005, 0.008, 0.007]",0.01,"[19, 19, 37, 37]",28.0

Minimax,Random,10,vertical,True,True,2,"[0.059, 0.062, 0.145, 0.216, 0.255]",0.15,"[343, 356, 832, 1244, 1473]",849.6

Minimax,Random,12,horizontal,True,True,3,"[0.3474, 0.413, 0.576, 1.3771, 1.4688, 1.0067]",0.86,"[1948, 2337, 3263, 7857, 8652, 6231]",5048.0

Minimax,Random,8,horizontal,True,True,4,"[5.9144, 7.0622, 12.1289, 10.0591]",8.79,"[34907, 43616, 74251, 60436]",53302.5

Minimax,Random,12,horizontal,True,True,5,"[8.8472, 12.4193, 15.2816, 23.8644, 47.4826, 21.743]",21.61,"[38005, 57116, 65900, 100125, 222419, 112921]",99414.33

Minimax,Random,12,vertical,True,True,1,"[0.005, 0.008, 0.005, 0.008, 0.008, 0.011]",0.01,"[19, 37, 19, 37, 37, 55]",34.0

Minimax,Minimax,11,vertical,True,True,2,"[0.002, 0.065, 0.1353, 0.072, 0.2053, 0.2195]",0.12,"[1, 372, 780, 406, 1156, 1237]",658.67

Minimax,Minimax,11,vertical,True,True,3,"[0.002, 0.465, 1.1061, 3.3595, 3.7286, 1.9284]",1.76,"[1, 2656, 6359, 19590, 22253, 11689]",10424.67

Minimax,Minimax,13,vertical,True,True,4,"[0.002, 8.0508, 8.6249, 25.0711, 37.1609, 50.6801, 29.8292]",22.77,"[1, 47462, 51628, 144950, 217636, 298916, 186446]",135291.29

Minimax,Random,14,vertical,True,True,5,"[8.6356, 11.8139, 16.4002, 23.8231, 36.1739, 34.3134, 17.8178]",21.28,"[37039, 54760, 69252, 100239, 164434, 168878, 108560]",100451.71

Minimax,Minimax,7,horizontal,True,True,1,"[0.002, 0.008, 0.008, 0.006]",0.01,"[1, 37, 37, 37]",28.0

Minimax,Minimax,13,vertical,True,True,2,"[0.002, 0.061, 0.064, 0.08, 0.198, 0.24, 0.168]",0.12,"[1, 343, 362, 437, 1118, 1332, 973]",652.29

Minimax,Minimax,13,lru,True,True,3,"[0.002, 0.5104, 0.3782, 0.6755, 2.0898, 3.0171, 1.6452]",1.19,"[1, 2884, 2058, 3778, 11728, 17187, 10119]",6822.14

Minimax,Random,10,vertical,True,True,4,"[6.1743, 8.2267, 11.9594, 39.4504, 44.3478]",22.03,"[36144, 49296, 68771, 224592, 253723]",126505.2

Minimax,Random,14,vertical,True,True,5,"[8.9233, 12.7308, 18.0057, 58.1584, 67.0296, 71.4282, 38.941]",39.32,"[37693, 60796, 77787, 279180, 312753, 370693, 239065]",196852.43

Minimax,Minimax,13,vertical,True,True,1,"[0.002, 0.005, 0.009, 0.006, 0.008, 0.008, 0.011]",0.01,"[1, 19, 37, 19, 37, 37, 55]",29.29

Minimax,Minimax,7,horizontal,True,True,2,"[0.002, 0.06, 0.062, 0.0957]",0.05,"[1, 343, 354, 563]",315.25

Minimax,Random,14,vertical,True,True,3,"[0.3521, 0.4681, 1.1205, 1.7282, 2.643, 1.8847, 1.2428]",1.35,"[1983, 2618, 6393, 9611, 15030, 11519, 8052]",7886.57

Minimax,Random,14,lrd,True,True,4,"[5.9694, 8.2869, 6.984, 25.3818, 45.3326, 67.9783, 43.3417]",29.04,"[34907, 50324, 43213, 146264, 258213, 387728, 253839]",167784.0

Minimax,Minimax,9,vertical,True,True,5,"[0.002, 13.3228, 18.0793, 53.407, 98.1143]",36.59,"[1, 59353, 76395, 254800, 508480]",179805.8

Minimax,Random,12,vertical,True,True,1,"[0.005, 0.005, 0.008, 0.012, 0.008, 0.011]",0.01,"[19, 19, 37, 55, 37, 55]",37.0

Minimax,Random,10,vertical,True,True,2,"[0.06, 0.062, 0.0681, 0.149, 0.197]",0.11,"[344, 356, 391, 851, 1131]",614.6

Minimax,Random,10,vertical,True,True,3,"[0.369, 0.488, 0.5699, 1.4341, 1.5055]",0.87,"[2063, 2777, 3218, 8081, 8497]",4927.2

Minimax,Minimax,11,horizontal,True,True,4,"[0.002, 7.9384, 8.0847, 22.3347, 25.4895, 26.0898]",14.99,"[1, 46285, 46764, 127894, 148219, 153738]",87150.17

Minimax,Minimax,13,vertical,True,True,5,"[0.002, 13.1023, 16.4792, 44.9041, 46.4129, 46.5719, 54.0765]",31.65,"[1, 59353, 72399, 220430, 228815, 244989, 305222]",161601.29

Minimax,Minimax,7,horizontal,True,True,1,"[0.003, 0.005, 0.005, 0.007]",0.01,"[1, 19, 19, 37]",19.0

Minimax,Minimax,11,horizontal,True,True,2,"[0.002, 0.061, 0.065, 0.132, 0.255, 0.1592]",0.11,"[1, 346, 368, 756, 1454, 926]",641.83

Minimax,Minimax,15,lrd,True,True,3,"[0.002, 0.427, 0.434, 1.1264, 1.53, 1.239, 1.569, 0.7822]",0.89,"[1, 2394, 2603, 6258, 8641, 7515, 9959, 5399]",5346.25

Minimax,Minimax,13,horizontal,True,True,4,"[0.002, 7.5549, 9.4699, 20.1843, 30.834, 50.5756, 31.853]",21.5,"[1, 44099, 56207, 115936, 180076, 295297, 186893]",125501.29

Minimax,Random,16,lru,True,True,5,"[8.8515, 12.6909, 14.2403, 42.2438, 58.7476, 73.7411, 40.8238, 53.4711]",38.1,"[38005, 58636, 62141, 197460, 267794, 406348, 238131, 304305]",196602.5

Minimax,Minimax,7,horizontal,True,True,1,"[0.002, 0.005, 0.008, 0.008]",0.01,"[1, 19, 37, 37]",23.5

Minimax,Minimax,7,horizontal,True,True,2,"[0.002, 0.0671, 0.1432, 0.11]",0.08,"[1, 353, 816, 648]",454.5

Minimax,Random,10,vertical,True,True,3,"[0.371, 0.5305, 0.9996, 1.2696, 1.622]",0.96,"[2089, 2967, 5529, 7179, 9596]",5472.0

Minimax,Minimax,17,vertical,True,True,4,"[0.002, 9.3926, 20.5804, 23.4495, 30.4239, 26.5817, 20.1802, 19.455, 9.8393]",17.77,"[1, 55249, 120065, 135985, 174770, 154802, 118279, 116695, 60835]",104075.67

Minimax,Minimax,7,horizontal,True,True,5,"[0.002, 11.5517, 27.1831, 20.2552]",14.75,"[1, 52431, 132089, 109224]",73436.25

Minimax,Random,12,vertical,True,True,1,"[0.005, 0.005, 0.008, 0.008, 0.012, 0.014]",0.01,"[19, 19, 37, 37, 55, 73]",40.0

Minimax,Random,12,horizontal,True,True,2,"[0.061, 0.06, 0.066, 0.133, 0.252, 0.171]",0.12,"[343, 344, 373, 758, 1428, 991]",706.17

Minimax,Minimax,17,vertical,True,True,3,"[0.002, 0.4159, 0.5321, 0.8878, 1.2717, 1.0876, 1.3471, 1.1066, 1.5262]",0.91,"[1, 2336, 3001, 4944, 7486, 7095, 8550, 7286, 9625]",5591.56

Minimax,Minimax,9,vertical,True,True,4,"[0.002, 8.1899, 8.1084, 21.4105, 37.6982]",15.08,"[1, 48273, 47419, 124250, 219285]",87845.6

Minimax,Minimax,7,horizontal,True,True,5,"[0.002, 11.8078, 25.3849, 45.3208]",20.63,"[1, 54520, 128215, 233440]",104044.0

Minimax,Minimax,9,vertical,True,True,1,"[0.002, 0.006, 0.006, 0.009, 0.011]",0.01,"[1, 19, 19, 37, 55]",26.2

Minimax,Random,12,horizontal,True,True,2,"[0.061, 0.0627, 0.0706, 0.1445, 0.23, 0.18]",0.12,"[343, 343, 399, 826, 1301, 1020]",705.33

Minimax,Minimax,13,lru,True,True,3,"[0.002, 0.523, 1.0075, 1.102, 1.2083, 1.7173, 1.7432]",1.04,"[1, 2969, 5659, 6208, 6921, 10230, 11086]",6153.43

Minimax,Random,10,vertical,True,True,4,"[6.1963, 7.992, 17.2431, 52.1034, 68.7431]",30.46,"[36411, 47950, 100187, 299280, 394087]",175583.0

Minimax,Random,14,vertical,True,True,5,"[8.8183, 12.4023, 17.8657, 41.4442, 53.5158, 30.2712, 53.9201]",31.18,"[37450, 57624, 76811, 192491, 255420, 161577, 293181]",153507.71

Minimax,Minimax,7,horizontal,True,True,1,"[0.003, 0.006, 0.008, 0.007]",0.01,"[1, 19, 37, 37]",23.5

Minimax,Minimax,7,horizontal,True,True,2,"[0.002, 0.06, 0.067, 0.099]",0.06,"[1, 343, 373, 586]",325.75

Minimax,Random,14,vertical,True,True,3,"[0.357, 0.3663, 0.542, 1.134, 1.5413, 0.8131, 0.633]",0.77,"[2008, 2037, 3033, 6378, 9103, 5017, 4144]",4531.43

Minimax,Random,14,vertical,True,True,4,"[5.907, 7.4831, 8.6594, 31.6826, 30.4801, 47.4451, 37.6281]",24.18,"[34907, 46044, 53765, 182727, 177050, 270910, 224768]",141453.0

Minimax,Random,14,vertical,True,True,5,"[8.7455, 24.2751, 31.3228, 41.5579, 22.1017, 26.4907, 19.9331]",24.92,"[37693, 115916, 148871, 206022, 105398, 144211, 114157]",124609.71

Minimax,Minimax,9,vertical,True,True,1,"[0.002, 0.005, 0.006, 0.008, 0.011]",0.01,"[1, 19, 19, 37, 55]",26.2

Minimax,Minimax,13,horizontal,True,True,2,"[0.002, 0.061, 0.063, 0.135, 0.197, 0.2595, 0.109]",0.12,"[1, 343, 361, 768, 1115, 1461, 631]",668.57

Minimax,Random,11,vertical,True,True,3,"[0.3721, 0.5748, 1.5932, 1.0191, 1.9311]",1.1,"[2089, 3262, 9105, 5782, 11053]",6258.2

Minimax,Minimax,9,vertical,True,True,4,"[0.002, 7.0388, 14.1333, 31.644, 25.672]",15.7,"[1, 41470, 83969, 188207, 151105]",92950.4

Minimax,Minimax,15,lru,True,True,5,"[0.003, 11.9536, 14.4176, 31.129, 53.3868, 30.2847, 32.1747, 29.6488]",25.37,"[1, 55179, 68669, 145886, 277383, 161300, 183825, 177260]",133687.88

Minimax,Minimax,11,vertical,True,True,1,"[0.003, 0.005, 0.006, 0.006, 0.009, 0.012]",0.01,"[1, 19, 19, 19, 37, 55]",25.0

Minimax,Random,12,horizontal,True,True,2,"[0.0632, 0.0606, 0.072, 0.232, 0.217, 0.179]",0.14,"[343, 345, 408, 1324, 1246, 1022]",781.33

Minimax,Minimax,11,vertical,True,True,3,"[0.002, 0.509, 0.372, 0.678, 2.0127, 1.5865]",0.86,"[1, 2884, 2058, 3778, 11393, 9125]",4873.17

Minimax,Random,12,vertical,True,True,4,"[6.0432, 10.3384, 8.9663, 25.9907, 32.2809, 24.2878]",17.98,"[35690, 62173, 55785, 151177, 188354, 143614]",106132.17

Minimax,Random,12,vertical,True,True,5,"[8.8574, 15.2783, 14.6597, 44.1172, 22.0556, 28.7263]",22.28,"[38005, 70407, 64989, 213051, 104694, 146995]",106356.83

Minimax,Random,12,vertical,True,True,1,"[0.005, 0.005, 0.005, 0.008, 0.02, 0.012]",0.01,"[19, 19, 19, 37, 37, 55]",31.0

Minimax,Random,8,horizontal,True,True,2,"[0.059, 0.061, 0.199, 0.115]",0.11,"[343, 344, 1146, 667]",625.0

Minimax,Minimax,13,horizontal,True,True,3,"[0.002, 0.521, 1.0206, 1.543, 1.4235, 2.3321, 1.4983]",1.19,"[1, 2969, 5693, 8671, 8050, 13785, 9814]",6997.57

Minimax,Random,14,vertical,True,True,4,"[5.8939, 6.9912, 8.9934, 27.7439, 57.363, 58.4743, 23.4189]",26.98,"[34907, 43001, 56100, 160529, 330756, 340616, 144796]",158672.14

Minimax,Minimax,13,vertical,True,True,5,"[0.003, 11.2998, 11.5491, 29.7416, 56.2361, 76.384, 37.9622]",31.88,"[1, 52130, 59614, 135203, 262880, 371946, 214819]",156656.14

Minimax,Minimax,7,horizontal,True,True,1,"[0.003, 0.006, 0.009, 0.007]",0.01,"[1, 19, 37, 37]",23.5

Minimax,Minimax,7,horizontal,True,True,2,"[0.002, 0.062, 0.066, 0.097]",0.06,"[1, 348, 369, 571]",322.25

Minimax,Minimax,7,horizontal,True,True,3,"[0.003, 0.4265, 0.4635, 1.0286]",0.48,"[1, 2394, 2733, 6277]",2851.25

Minimax,Random,8,horizontal,True,True,4,"[6.0474, 7.0026, 13.0109, 19.3871]",11.36,"[35820, 43001, 80203, 113999]",68255.75

Minimax,Random,12,horizontal,True,True,5,"[8.6933, 11.5912, 16.8287, 42.42, 75.7566, 42.0093]",32.88,"[37278, 56826, 75251, 199172, 390260, 232840]",165271.17

Minimax,Minimax,13,vertical,True,True,1,"[0.002, 0.006, 0.009, 0.017, 0.011, 0.008, 0.01]",0.01,"[1, 19, 37, 37, 37, 37, 55]",31.86

Minimax,Random,10,vertical,True,True,2,"[0.061, 0.061, 0.07, 0.139, 0.169]",0.1,"[343, 345, 395, 795, 991]",573.8

Minimax,Random,12,vertical,True,True,3,"[0.355, 0.4201, 0.9855, 1.2675, 1.5086, 1.6756]",1.04,"[1983, 2347, 5658, 7144, 8641, 9751]",5920.67

Minimax,Minimax,7,horizontal,True,True,4,"[0.002, 7.0832, 6.8864, 11.643]",6.4,"[1, 41369, 42476, 69896]",38435.5

Minimax,Random,13,vertical,True,True,5,"[8.753, 15.8109, 15.0916, 40.4142, 51.2612, 30.8742]",27.03,"[37450, 68056, 65900, 196539, 259486, 157264]",130782.5

Minimax,Random,14,vertical,True,True,1,"[0.007, 0.009, 0.008, 0.008, 0.008, 0.014, 0.011]",0.01,"[19, 37, 37, 37, 37, 73, 55]",42.14

Minimax,Minimax,11,vertical,True,True,2,"[0.003, 0.061, 0.07, 0.142, 0.2179, 0.233]",0.12,"[1, 343, 400, 821, 1238, 1345]",691.33

Minimax,Minimax,15,vertical,True,True,3,"[0.002, 0.495, 0.6103, 1.2257, 1.573, 1.3472, 1.0087, 0.8045]",0.88,"[1, 2807, 3444, 7004, 9000, 8401, 6771, 5872]",5412.5

Minimax,Minimax,11,vertical,True,True,4,"[0.002, 8.6692, 6.9177, 17.107, 27.2163, 37.7517]",16.28,"[1, 51171, 40560, 99843, 158386, 224867]",95804.67

Minimax,Random,14,vertical,True,True,5,"[8.7397, 15.7972, 30.095, 43.6898, 46.7061, 26.4793, 17.8348]",27.05,"[37410, 68056, 139766, 203261, 217319, 136148, 98745]",128672.14

Minimax,Random,10,vertical,True,True,1,"[0.0063, 0.0053, 0.0082, 0.0083, 0.0116]",0.01,"[19, 19, 37, 37, 55]",33.4

Minimax,Random,12,vertical,True,True,2,"[0.0591, 0.142, 0.062, 0.1432, 0.224, 0.183]",0.14,"[343, 828, 362, 818, 1300, 1060]",785.17

Minimax,Random,10,vertical,True,True,3,"[0.359, 0.8599, 1.0312, 1.5271, 2.068]",1.17,"[2008, 4770, 6008, 8935, 11775]",6699.2

Minimax,Minimax,15,lrd,True,True,4,"[0.002, 7.1092, 6.8667, 14.0763, 34.6755, 48.7999, 86.1201, 35.5016]",29.14,"[1, 41942, 42266, 81708, 199155, 281339, 499192, 214106]",169963.62

Minimax,Random,13,vertical,True,True,5,"[8.8383, 11.5537, 14.8685, 40.7945, 39.8055, 29.917]",24.3,"[38005, 53707, 64672, 191990, 181332, 142606]",112052.0

Minimax,Minimax,13,vertical,True,True,1,"[0.003, 0.005, 0.005, 0.009, 0.008, 0.008, 0.012]",0.01,"[1, 19, 19, 37, 37, 37, 55]",29.29

Minimax,Minimax,15,lru,True,True,2,"[0.003, 0.0628, 0.0731, 0.135, 0.213, 0.2561, 0.358, 0.287]",0.17,"[1, 343, 368, 781, 1203, 1437, 2002, 1606]",967.62

Minimax,Random,12,vertical,True,True,3,"[0.351, 0.4637, 0.612, 1.171, 1.644, 1.6565]",0.98,"[1983, 2618, 3451, 6665, 9534, 9398]",5608.17

Minimax,Random,8,horizontal,True,True,4,"[6.0625, 19.887, 21.4073, 27.0934]",18.61,"[35690, 117979, 127111, 161357]",110534.25

Minimax,Minimax,15,lru,True,True,5,"[0.002, 13.3756, 17.0442, 43.9366, 41.4708, 56.4067, 32.3384, 15.0127]",27.45,"[1, 60852, 74336, 215146, 204395, 296835, 187618, 89876]",141132.38

Minimax,Minimax,7,horizontal,True,True,1,"[0.002, 0.006, 0.006, 0.007]",0.01,"[1, 19, 19, 37]",19.0

Minimax,Random,8,horizontal,True,True,2,"[0.061, 0.136, 0.147, 0.151]",0.12,"[343, 772, 840, 930]",721.25

Minimax,Minimax,9,vertical,True,True,3,"[0.003, 0.406, 0.5026, 1.1126, 1.5049]",0.71,"[1, 2283, 2798, 6101, 8719]",3980.4

